country,region,year,renewable_share_pct,gdp_per_capita_usd,total_energy_twh,population_millions
United Kingdom,Europe,2017,33.97,42015.1,2035.83,64.112
United Kingdom,Europe,2018,36.87,44370.73,2020.34,64.432
United Kingdom,Europe,2019,39.66,44880.95,1983.39,64.755
United Kingdom,Europe,2020,40.5,45073.19,1963.38,65.078
United Kingdom,Europe,2021,42.06,45962.94,1944.23,65.404
United Kingdom,Europe,2022,42.32,47845.68,1902.83,65.731
United Kingdom,Europe,2023,42.26,48105.83,1897.2,66.059
United States,North America,2000,5.58,34649.08,23127.78,282.0
United States,North America,2001,7.15,36238.22,22939.91,283.974
United States,North America,2002,6.5,37936.73,23396.13,285.962
United States,North America,2003,7.71,39353.33,23520.65,287.964
United States,North America,2004,8.26,40744.65,23671.13,289.979
United States,North America,2005,9.23,42374.02,23544.7,292.009
United States,North America,2006,10.08,43543.36,23826.25,294.053
United States,North America,2007,9.96,45903.87,23147.44,296.112
United States,North America,2008,11.65,46211.45,23601.55,298.184
United States,North America,2009,11.91,47602.63,23556.79,300.272
United States,North America,2010,11.39,50176.77,23877.55,302.374
United States,North America,2011,12.0,50278.54,23798.95,304.49
United States,North America,2012,13.82,53474.15,23982.75,306.622
United States,North America,2013,14.35,55003.38,24563.7,308.768
United States,North America,2014,15.07,56606.91,24156.41,310.929
United States,North America,2015,15.77,60001.97,24385.85,313.106
United States,North America,2016,16.57,59975.93,24316.94,315.298
United States,North America,2017,17.66,64472.86,24480.6,317.505
United States,North America,2018,17.07,64386.77,24552.4,319.727
United States,North America,2019,17.69,65460.17,24750.55,321.965
United States,North America,2020,18.39,69014.65,25017.75,324.219
United States,North America,2021,19.87,70069.16,25228.26,326.489
United States,North America,2022,21.09,72741.01,24986.66,328.774
United States,North America,2023,20.74,76452.62,25147.39,331.075
